Description,Violation Type
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Citation
DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,Warning
STOP LIGHTS (*),ESERO
DRIVER CHANGING LANES WHEN UNSAFE,Warning
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Citation
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,Warning
USE OF CLASS 5 TRANSPORTER REG. PLATE OTHER THAN AS PERMITTED IN 13-625,Citation
USE OF SPECIAL REG. PLATE ON UNAUTHORIZED VEH.,Warning
DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,Warning
DRIVER CONSUMING ALCOHOLIC BEVERAGE IN PASSENGER AREA OF MOTOR VEHICLE ON HIGHWAY,Warning
DRIVING A MOTOR VEHICLE WITHOUT LIGHTED HEAD LAMPS OR FOG LIGHTS WHILE OPERATING WINDSHIELD WIPERS,Citation
"FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS, COVERS",Warning
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,Warning
"DRIVER WRITING,SENDING,READING A TEXT,ELECTRONIC MSG. WHILE OPER. VEH. IN TRAVEL PORTION OF HWY",Warning
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,Citation
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,Citation
RT. TURN FROM IMPROPER ROAD POSITION,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH.,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation
POSSESSING SUSPENDED LIC.,Citation
"PEDESTRIAN FAIL TO OBEY ""DONT WALK"", ""UPRAISED HAND"") SIGNAL",Warning
"PEDESTRIAN FAIL TO OBEY ""DONT WALK"", ""UPRAISED HAND"" SIGNAL",Warning
OPERATOR NOT RESTRAINED BY SEATBELT,Citation
DRIVING VEHICLE IN HOV LANE WHEN NOT AUTHORIZED BY TRAFFIC CONTROL DEVICE,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Warning
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Citation
DRIVING VEHICLE IN HOV LANE WHEN NOT AUTHORIZED BY TRAFFIC CONTROL DEVICE,Citation
"FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS, COVERS",Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
"PEDESTRIAN FAIL TO OBEY ""DONT WALK"", ""UPRAISED HAND"" SIGNAL",Warning
HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
STOP LIGHTS (*),ESERO
TAILLIGHTS (*),ESERO
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM  COVERS,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,Warning
DISPLAYING REG. PLATE ISSUED FOR OTHER VEHICLE,Citation
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
KNOWINGLY DRIVING UNINSURED VEHICLE,Citation
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Warning
DRIVING VEH. WHILE WEARING EARPHONES,Warning
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning
DISPLAYING EXPIRED REGISTRATION PLATES ISSUED BY ANY STATE,Warning
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Citation
KNOWINGLY DRIVING UNINSURED VEHICLE,Warning
UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,Warning
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,Warning
UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Warning
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Warning
DRIVER CHANGING LANES WHEN UNSAFE,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
"OPER. M/V WITH OPERATOR, OCCUPANT UNDER AGE 16 NOT RESTRAINED BY SEATBELT, CHILD SAFETY SEAT",Warning
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,Warning
STOP LIGHTS (*),ESERO
DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,Warning
OPERATING VEH. WITH TEMPORARY PARKING PLACARD HANGING FROM INSIDE REARVIEW MIRROR,Warning
STOP LIGHTS (*),ESERO
TAILLIGHTS (*),ESERO
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
"PEDESTRIAN FAIL TO OBEY ""DONT WALK"", ""UPRAISED HAND"" SIGNAL",Warning
STOP LIGHTS (*),ESERO
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,Warning
DRIVING A VEHICLE WHILE A REMOVABLE WINDSHIELD PLACARD IS HANGING FROM THE INSIDE REARVIEW MIRROR,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning
KNOWINGLY DRIVING UNINSURED VEHICLE,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVER MAKING PROHIBITED U-TURN ON CREST OF GRADE,Warning
"PEDESTRIAN FAIL TO OBEY ""DONT WALK"", ""UPRAISED HAND"" SIGNAL",Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
KNOWINGLY DRIVING  UNINSURED VEHICLE,Warning
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,Warning
PERSON DRIVING REG. MOTOR VEH. ON HWY. W/O REQUIRED SAFETY GLASS EQUIPMENT,Warning
DRIVER CHANGING LANES WHEN UNSAFE,Warning
"DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",Citation
PERSON DRIVING MOTOR VEH. ON HWY. ON SUSPENDED LIC. AND PRIVILEGE,Citation
POSSESSING SUSPENDED LIC.,Citation
DRIVING VEH IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HWY,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
DRIVING VEH. WHILE WEARING EARPHONES,Warning
FAILURE TO STOP AT STOP SIGN,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Warning
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation
DRIVING MOTOR VEHICLE WHEN NOT QUALIFIED TO DO SO,Citation
EMERGENCY BRAKING SYSTEM NOT OPERATING PROPERLY,Warning
"TAILLIGHT, STOPLIGHT, TURN SIGNAL,  CLEARANCE LIGHT, MARKER LIGHT INOPERATIVE",Warning
DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,Warning
EXCEEDING MAXIMUM SPEED: 45 MPH IN A POSTED 30 MPH ZONE,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
FAILURE TO STOP AT STOP SIGN,Citation
EXCEEDING MAXIMUM SPEED: 58 MPH IN A POSTED 30 MPH ZONE,Citation
EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 30 MPH ZONE,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,Citation
DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
OPERATOR NOT RESTRAINED BY SEATBELT,Citation
EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Warning
STOP LIGHTS (*),ESERO
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,Citation
FAILURE TO STOP AT STOP SIGN,Warning
STOP LIGHTS (*),ESERO
FAILURE TO STOP WHEN ENTERING HIGHWAY,Warning
DISPLAY SUSPENDED LIC.,Citation
EXCEEDING MAXIMUM SPEED: 50 MPH IN A POSTED 30 MPH ZONE,Citation
FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP,Warning
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation
"PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",Citation
POSSESSING SUSPENDED LIC.,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
EXCEEDING MAXIMUM SPEED: 52 MPH IN A POSTED 30 MPH ZONE,Citation
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Warning
FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP,Warning
ALLOWING VEH. TO BE DRIVEN ON HWY. WITH SUSPENDED REGISTRATION,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Citation
DRIVING VEH. ON HWY. WITH SUSPENDED REGISTRATION,Citation
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
FAILURE TO DISPLAY TAB ON PLATES OF VEH. AS REQUIRED BY ADM.,Warning
OWNER KNOWINGLY PERMITTING VEH. TO BE DRIVEN ON HWY. IF REG. IS SUSPENDED,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation
POSSESSING SUSPENDED LIC.,Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUT-OF-STATE LICENSE,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation
"PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 30 MPH ZONE,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,Citation
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS,Warning
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation
EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation
"PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",Citation
POSSESSING SUSPENDED LIC.,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,Warning
DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning
"DRIVING VEH. ON HWY. WITH CANCELLED, SUSPENDED, REVOKED REG.",Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning
OPERATOR NOT RESTRAINED BY SEATBELT,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,Warning
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,Warning
DRIVER ENTERING CROSSWALK AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,Citation
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,Citation
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Citation
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,Citation
FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH.,Citation
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning
OPERATOR NOT RESTRAINED BY SEATBELT,Citation
EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,Citation
FAILURE TO STOP AT STOP SIGN,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Warning
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Citation
STOP LIGHTS (*),ESERO
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Citation
FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH,Citation
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning
DRIVING/ATTEMPTING DRIVE MOTOR VEH. ON HWY W/O REQ. LICENSE AND AUTHORIZATION,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
"PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT,Citation
MOTOR VEH. W/O REQUIRED STOP LAMPS EQUIPMENT,Warning
"CLEARANCE 
LAMPS (*)",ESERO
HAZARD WARNING LAMP (*),ESERO
I.D. LAMP (*),ESERO
"SIDE MARKER 
LAMP (*)",ESERO
STOP LIGHTS (*),ESERO
TAG LIGHTS (*),ESERO
TAILLIGHTS (*),ESERO
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Citation
TIRES,ESERO
TURN SIGNALS (*),ESERO
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Citation
DRIVING  MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
DRIVING VEH. WHILE WEARING EARPHONES,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation
"PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",Citation
DRIVER MAKING PROHIBITED U-TURN ON CREST OF GRADE,Citation
"DRIVING, ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
FAILURE TO STOP AT STOP SIGN,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
"PERSON DRIVING MOTOR VEH. ON HWY., PUBLIC USE PROPERTY ON REVOKED OUT OF STATE LIC.",Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Warning
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
"PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103)",Citation
DRIVING  UNINSURED VEHICLE,Citation
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,Citation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Citation
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
WINDOW TINT,ESERO
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,Warning
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,Citation
VEHICLE CARRYING A LOAD OF LOOSE MATERIAL WITHOUT CANVAS OR OTHER APPROVED COVER,Warning
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Citation
FAILURE TO  PROPERLY  POSITION REGISTRATION PLATE TO VEHICLE,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
FAILURE TO STOP AT STOP SIGN,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Warning
DRIVER MAKING IMPROPER LEFT TURN AT RED SIGNAL,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,Citation
DRIVER MAKING PROHIBITED U-TURN ON CREST OF GRADE,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
DRIVER MAKING PROHIBITED U-TURN ON CREST OF GRADE,Warning
"DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",Citation
PERSON DRIVING MOTOR VEH. ON HWY. ON SUSPENDED LIC. AND PRIVILEGE,Citation
POSSESSING SUSPENDED LIC.,Citation
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
STOP LIGHTS (*),ESERO
DRIVER CHANGING LANES WHEN UNSAFE,Warning
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning
